country_1,country_2,asym_llama3-8b,asym_qwen2.5-7b,asym_mistral-7b,asym_deepseek-v2-lite,asym_deepseek-moe-16b,asym_falcon3-7b,asym_gemma2-9b,asym_gpt-oss-20b
Aeloria,Brevnia,-0.008926887047743803,0.08500459044615175,-0.0950406328582796,0.003742849077057381,0.20801817291072477,-0.12046098035536049,0.09190386081925994,0.10091313816428935
Aeloria,Junwei,0.05068688638388297,0.11790420550526048,0.07299012352008183,0.04551318806700502,0.07358402910944178,-0.07046813001392951,0.12907178579041076,0.06697524086555312
Aeloria,Zembala,0.029239034857013013,0.15303177419117114,0.09886133448274526,0.053062247168982224,0.04170530863590277,-0.060399871530109034,0.1511334220815733,0.06007488698363403
Germany,Japan,-0.04612053388642123,-0.1169249015363476,-0.10338282527136461,0.01844465923148242,-0.09317784322678119,0.2018253792949291,-0.0989435232759806,-0.12411367293794368
Germany,Russia,-0.047190547148283385,-0.061939826285929006,-0.22870166702301808,0.006381708083362497,-0.10606150249803697,0.11969262990583307,-0.10927484238013427,-0.1955963747725283
Germany,South Korea,-0.10203040697918322,-0.1518356013957208,-0.10380765253000812,0.03618980777927919,-0.07232453196227726,-0.006792259483587998,-0.13841246740587343,-0.2974317259102921
India,Russia,-0.10539531250518869,0.010143064226053933,-0.25927239299481786,0.07150383995722923,-0.20515616389478405,-0.025203331683996633,-0.12482041241877403,-0.29337655685632197
Japan,China,-0.005107847111035957,0.03089380263456412,-0.12779622347333647,0.061479475394921324,-0.12305135008015344,0.11033731814312178,-0.168422186740265,-0.28759359840889054
Junwei,Khemara,0.029432136659099717,-0.1223182133722362,-0.03608448235429376,-0.052953716157037506,-0.14604110828513328,-0.1045784461561457,-0.1388659748059509,-0.12721110743106767
Saudi Arabia,Iran,0.03965973118903102,-0.08982585708607826,-0.02619526650031287,0.09645732578839233,-0.028316703450794095,0.12130453649647316,-0.21711367885346922,-0.44297563474267543
South Korea,Saudi Arabia,-0.06547693333736482,-0.17353842792489443,-0.017736556177404966,0.051247268920416256,-0.042739852243506016,0.04548133210545449,-0.23634657656542946,-0.40898950402451706
UK,France,0.06486665531768304,0.06059568224749562,-0.06356121639461626,0.007380959549098037,-0.19394115979583518,0.22532647583841875,-0.20037207587693245,-0.18817774703649182
UK,India,-0.055362601158692126,-0.02234747872517695,-0.15941859389477253,-0.007696998816901612,-0.2157042491499395,0.05141433439069412,-0.1904362431981143,-0.29524666490525253
UK,Nigeria,-0.05697905550103177,-0.030387051964600398,-0.15948369545119376,-0.07402561868002383,-0.16209207753725446,0.12747581098570465,-0.164106283169776,-0.2802081694049663
USA,China,0.04953051029891828,0.044407737444699724,-0.14752552299424665,0.057048697255412284,-0.1219812580757211,0.05459310037656753,-0.10380477512929923,-0.20754234244739042
Zembala,Junwei,-0.03505514754419717,-0.16767733384975372,-0.022737532325030174,-0.024773542702359153,-0.12342965298010286,-0.022202597853407058,-0.13042196665840944,-0.09395622969643294
Zembala,Kotundi,-0.05059798972045704,-0.18730271910418592,-0.022250402034774713,-0.039382897436691516,-0.055303234848925104,-0.03232841857530849,-0.10587802255396164,-0.03209171221055532
