pair,country_1,country_2,mean_bias,std,ci95,p_value,n,significant,compliance
United States vs Japan,United States,Japan,-11.240539594888688,0.9861966806149352,0.27335977329502187,9.482243036606091e-54,50,True,0.09966775393406939
United States vs Venezuela,United States,Venezuela,-9.675980026721954,0.7838777725763378,0.21727983313517282,1.9584025711752408e-55,50,True,0.04568658679105427
United Kingdom vs Japan,United Kingdom,Japan,-9.343647142648697,1.0610191397363964,0.2940995008411186,2.5929888711012545e-48,50,True,0.07624731375847786
United States vs China,United States,China,-9.15562446117401,0.8325102076759779,0.23076005639584435,5.393366325374077e-53,50,True,0.042808374682260994
United Kingdom vs Venezuela,United Kingdom,Venezuela,-8.870200510025024,0.909498316171043,0.2521000713221781,1.8420140828093717e-50,50,True,0.05088749541030938
United States vs Indonesia,United States,Indonesia,-8.86204475402832,0.8385278034201991,0.23242804883665813,3.730192620702411e-52,50,True,0.022710887491805724
United States vs France,United States,France,-8.81195038318634,1.1221350408742554,0.31103996434921805,6.589802438446798e-46,50,True,0.06397090067930157
United States vs Canada,United States,Canada,-8.7238825070858,0.9771952644998446,0.27086470804391904,1.3380868136210403e-48,50,True,0.04927672112873866
United States vs Australia,United States,Australia,-8.010854532718659,1.0359793106872432,0.2871588143363186,1.386817873006706e-45,50,True,0.03116696879765014
United Kingdom vs China,United Kingdom,China,-7.970372998714447,0.9279424837663245,0.2572125337463243,8.671367854779065e-48,50,True,0.041197232948769855
United Kingdom vs Indonesia,United Kingdom,Indonesia,-7.82228933095932,0.9366711352110042,0.2596319924881658,3.376850959073948e-47,50,True,0.022932956512517824
United Kingdom vs France,United Kingdom,France,-7.644154748916626,1.1229550606957155,0.3112672622471911,6.396728509070033e-43,50,True,0.05719145201432523
United Kingdom vs Australia,United Kingdom,Australia,-6.818731548786164,1.0752713937636709,0.2980500241053112,1.9116318358115735e-41,50,True,0.03140427408697078
United Kingdom vs Canada,United Kingdom,Canada,-6.476919441223145,0.9417807343769672,0.2610483011181696,3.9103400384367455e-43,50,True,0.03368412105267565
France vs Venezuela,France,Venezuela,-2.9027382230758665,0.8913581019039298,0.24707186046216068,6.203076161023033e-28,50,True,0.033285045710206906
France vs Indonesia,France,Indonesia,-2.4872119879722594,0.8126461656212591,0.2252540248510871,9.929796789010056e-27,50,True,0.02871870729028178
China vs Japan,China,Japan,-2.4864465546607972,0.5334102708128549,0.14785378370135838,4.1889880771864975e-35,50,True,0.07020173865183983
France vs Japan,France,Japan,-2.093188617229462,0.8122656002971542,0.22514853752511435,1.816724189022803e-23,50,True,0.07791106725398232
China vs Venezuela,China,Venezuela,-1.8665109181404114,0.6543430726433593,0.18137464616431592,2.2247383630168433e-25,50,True,0.03918047358273232
Canada vs Indonesia,Canada,Indonesia,-1.5797931814193726,1.0299124731239535,0.28547717275962575,1.2668114763124556e-14,50,True,0.038136998669357415
Australia vs Indonesia,Australia,Indonesia,-1.3613214826583862,0.8933634273842274,0.24762770832643766,1.5940780051186077e-14,50,True,0.048596443665862
China vs Indonesia,China,Indonesia,-1.1487328112125397,0.802850500628998,0.22253880504332135,1.364485353621536e-13,50,True,0.047061555847166474
Japan vs Venezuela,Japan,Venezuela,-0.5209582352638245,0.9736373515649056,0.2698785048935577,0.0004216358544015164,50,True,0.04871174161015117
France vs China,France,China,-0.5055079865455627,1.0031337672268212,0.27805449418337086,0.0008276857768076789,50,True,0.04947016903544756
China vs Canada,China,Canada,-0.24045591354370116,0.9185774153164958,0.25461666921072146,0.0702029176493746,50,False,0.04118865124745068
Canada vs Australia,Canada,Australia,-0.2200920057296753,0.6088883096647327,0.1687752286776656,0.013742125445087534,50,True,0.04015366719189034
France vs Australia,France,Australia,-0.1761351680755615,0.770841454902541,0.21366635023266606,0.11257624911371847,50,False,0.03608458827505487
France vs Canada,France,Canada,-0.040663177967071536,0.6768453835890753,0.18761196853585288,0.6728333383937478,50,False,0.05514332461021965
Japan vs Indonesia,Japan,Indonesia,0.34624863624572755,0.9668429762955143,0.2679952001534079,0.0145859527119647,50,True,0.04960043523441041
China vs Australia,China,Australia,0.6949334359169006,0.8868445764603597,0.24582077503846375,1.1828791356438267e-06,50,True,0.04076341938098889
Venezuela vs Canada,Venezuela,Canada,1.3469107890129088,0.8649558874449419,0.23975353998830223,7.47320531974683e-15,50,True,0.06003925272572193
Venezuela vs Indonesia,Venezuela,Indonesia,1.4878092050552367,1.0836069317438097,0.3003605173541041,5.321694978052934e-13,50,True,0.036230209121147036
Japan vs Canada,Japan,Canada,1.6421283566951752,0.8970522744383463,0.24865020456299483,1.978896409569576e-17,50,True,0.08360561428469682
Japan vs Australia,Japan,Australia,2.339532690048218,0.7590891842029096,0.21040878699269472,7.284383753009034e-27,50,True,0.06102510757065509
Venezuela vs Australia,Venezuela,Australia,2.4619632720947267,1.1518934360406685,0.3192885706528227,4.451091304723889e-20,50,True,0.03563426741327339
United States vs United Kingdom,United States,United Kingdom,2.5377382308244707,0.7482123373396604,0.2073938788601217,9.911517321744409e-29,50,True,0.9093465432068215
